Date,City,PM25,O3,NO2,SO2,CO
2023-02-22,Toronto-North,24,26,5, , 
2023-02-23,Toronto-North,15,26,10, , 
2023-02-24,Toronto-North,23,24,10, , 
2023-02-25,Toronto-North,25,23,10, , 
2023-02-26,Toronto-North,30,33,7, , 
2023-02-27,Toronto-North,43,28,10, , 
2023-02-28,Toronto-North,20,27,11, , 
2023-03-01,Toronto-North,26,29,18, , 
2023-03-02,Toronto-North,43,28,11, , 
2023-03-03,Toronto-North,34,31,7, , 
2023-03-04,Toronto-North,19,32,6, , 
2023-03-05,Toronto-North,16,30,20, , 
2023-03-06,Toronto-North,47,24,24, , 
2023-03-07,Toronto-North,36,33,6, , 
2023-03-08,Toronto-North,14,31,6, , 
2023-03-09,Toronto-North,13,31,6, , 
2023-03-10,Toronto-North,15,27,8, , 
2023-03-11,Toronto-North,14,28,4, , 
2023-03-12,Toronto-North,13,27,11, , 
2023-03-13,Toronto-North,23,28,10, , 
2023-03-14,Toronto-North,29,27,6, , 
2023-03-15,Toronto-North,11,34,6, , 
2023-03-16,Toronto-North,14,31,21, , 
2023-03-17,Toronto-North,51,29,8, , 
2023-03-18,Toronto-North,33,30,4, , 
2023-03-19,Toronto-North,22,34,4, , 
2023-03-20,Toronto-North,16,31,9, , 
2023-03-21,Toronto-North,34,34,10, , 
2023-03-22,Toronto-North,50,27,11, , 
2023-03-23,Toronto-North,47,28,15, , 
2023-03-24,Toronto-North,56,30,9, , 
2023-03-25,Toronto-North,27,28,6, , 
2023-03-26,Toronto-North,24,35,4, , 
2023-03-27,Toronto-North,17,31,17, , 
2023-03-28,Toronto-North,28,24,17, , 
2023-03-29,Toronto-North,47,33,17, , 
2023-03-30,Toronto-North,39,34,10, , 
2023-03-31,Toronto-North,22,25,13, , 
2023-04-01,Toronto-North,35,35,6, , 
2022-10-02,Toronto-North,23,19,5, , 
2022-10-03,Toronto-North,12,22,7, , 
2022-10-04,Toronto-North,16,24,13, , 
2022-10-05,Toronto-North,30,24,18,3, 
2022-10-06,Toronto-North,41,33,21,1, 
2022-10-07,Toronto-North,53,19,3, , 
2022-10-08,Toronto-North,9,23,5, , 
2022-10-09,Toronto-North,9,24,4, , 
2022-10-10,Toronto-North,23,24,4, , 
2022-10-11,Toronto-North,28,30,13,1, 
2022-10-12,Toronto-North,43,31,8, , 
2022-10-13,Toronto-North,36,27,7, , 
2022-10-14,Toronto-North,29,24,10,1, 
2022-10-15,Toronto-North,36,23,4, , 
2022-10-16,Toronto-North,19,18,6,2, 
2022-10-17,Toronto-North,28,11,6, , 
2022-10-18,Toronto-North,21,9,6, , 
2022-10-19,Toronto-North,22,13,7, , 
2022-10-20,Toronto-North,13,16,8, , 
2022-10-21,Toronto-North,22,34,11,2, 
2022-10-22,Toronto-North,43,37,9,3, 
2022-10-23,Toronto-North,44,33,12,1, 
2022-10-24,Toronto-North,50,30,11, , 
2022-10-25,Toronto-North,39,20,9, , 
2022-10-26,Toronto-North,26,14,10, , 
2022-10-27,Toronto-North,26,17,5, , 
2022-10-28,Toronto-North,9,19,9, , 
2022-10-29,Toronto-North,12,19,13,3, 
2022-10-30,Toronto-North,34,24,13,1, 
2022-10-31,Toronto-North,49,13,19, , 
2022-11-01,Toronto-North,59,23,14, , 
2022-11-02,Toronto-North,47,20,17,1, 
2022-11-03,Toronto-North,70,13,16, , 
2022-11-04,Toronto-North,60,25,12,1, 
2022-11-05,Toronto-North,31,26,4,1, 
2022-11-06,Toronto-North,25,27,3, , 
2022-11-07,Toronto-North,16,22,6, , 
2022-11-08,Toronto-North,23,18,10, , 
2022-11-09,Toronto-North,17,22,14, , 
2022-11-10,Toronto-North,30,23,20,2, 
2022-11-11,Toronto-North,47,13,18,1, 
2022-11-12,Toronto-North,29,13,3, , 
2022-11-13,Toronto-North,16,23,4, , 
2022-11-14,Toronto-North,6,25,10, , 
2022-11-15,Toronto-North,10,20,11, , 
2022-11-16,Toronto-North,13,15,13, , 
2022-11-17,Toronto-North,22,20,11, , 
2022-11-18,Toronto-North,23,19,9, , 
2022-11-19,Toronto-North,43,19,6, , 
2022-11-20,Toronto-North,25,23,5, , 
2022-11-21,Toronto-North,11,24,11, , 
2022-11-22,Toronto-North,34,15,21, , 
2022-11-23,Toronto-North,36,13,27, , 
2022-11-24,Toronto-North,93,7,28, , 
2022-11-25,Toronto-North,80,20,12, , 
2022-11-26,Toronto-North,27,19,13, , 
2022-11-27,Toronto-North,35,23,13, , 
2022-11-28,Toronto-North,34,18,5, , 
2022-11-29,Toronto-North,10,16,9, , 
2022-11-30,Toronto-North,25,14,6, , 
2022-12-01,Toronto-North,22,19,7, , 
2022-12-02,Toronto-North,11,15,14, , 
2022-12-03,Toronto-North,44,20,5, , 
2022-12-04,Toronto-North,11,18,7, , 
2022-12-05,Toronto-North,19,13,14, , 
2022-12-06,Toronto-North,24,14,12, , 
