Burlington, (44008) Hourly, Ground-level Ozone (O3) Concentrations
Station,Burlington (44008)
Address,North Shore Blvd. E./lakeshore Rd.
Latitude,43.314603
Longitude,-79.80277
Elevation, 78 metres
Air Intake Height,5 metres
Pollutant,Ozone (Ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
44008,Ozone,2022-03-11,21,16,14,19,18,19,28,39,39,38,41,40,38,39,34,29,24,20,22,30,28,34,38,40,
44008,Ozone,2022-03-12,39,40,38,39,42,41,41,40,39,39,39,40,40,40,39,38,38,37,36,36,36,38,37,36,
44008,Ozone,2022-03-13,36,34,-999,-999,34,32,31,31,32,33,34,34,35,32,37,37,35,32,32,31,32,33,30,29,
44008,Ozone,2022-03-14,27,28,22,9999,13,11,12,11,21,22,26,29,28,33,29,33,36,35,36,35,27,22,17,21,
44008,Ozone,2022-03-15,21,22,23,23,18,14,14,19,31,35,31,31,29,28,20,12,4,11,21,21,18,13,7,4,
44008,Ozone,2022-03-16,14,16,15,17,15,9,4,2,3,6,9999,9999,9999,9999,22,24,30,32,34,38,40,41,41,40,
44008,Ozone,2022-03-17,40,40,36,37,36,34,11,8,8,9,16,20,29,37,38,40,40,41,38,22,6,15,37,41,
44008,Ozone,2022-03-18,44,32,16,12,4,0,0,2,5,10,14,22,24,26,33,42,48,47,46,49,44,39,37,34,
44008,Ozone,2022-03-19,34,39,40,39,38,35,33,32,30,28,27,27,28,29,29,28,22,17,18,17,18,24,29,28,
44008,Ozone,2022-03-20,28,26,25,27,26,28,26,28,28,30,35,38,40,41,40,40,41,40,39,36,32,27,28,26,
44008,Ozone,2022-03-21,27,26,25,9999,26,20,17,21,24,30,36,41,43,45,44,43,42,42,41,41,34,36,31,36,
44008,Ozone,2022-03-22,35,31,28,24,26,20,14,17,32,31,38,38,40,42,44,43,48,49,47,48,48,48,47,47,
44008,Ozone,2022-03-23,46,45,44,41,40,41,42,41,41,40,39,40,41,40,37,35,35,34,34,35,35,34,33,31,
44008,Ozone,2022-03-24,30,30,28,22,12,13,14,19,20,23,22,26,26,26,26,26,28,27,27,24,22,21,21,24,
44008,Ozone,2022-03-25,24,25,24,24,22,20,19,18,22,22,25,26,27,28,30,35,36,33,30,25,23,23,23,23,
44008,Ozone,2022-03-26,22,23,23,27,30,27,24,20,20,20,22,22,28,31,28,30,30,30,28,23,21,22,23,23,
44008,Ozone,2022-03-27,22,21,20,19,19,20,20,20,19,18,21,26,30,33,35,35,37,37,38,36,35,33,34,34,
44008,Ozone,2022-03-28,34,35,36,9999,28,22,26,30,32,33,33,32,31,31,30,30,31,33,33,31,29,29,30,26,
44008,Ozone,2022-03-29,29,27,27,25,21,16,12,22,33,39,39,40,40,40,40,40,40,41,34,30,22,31,27,23,
44008,Ozone,2022-03-30,6,7,5,7,2,31,38,34,38,39,38,38,37,36,36,37,36,34,33,33,32,33,33,32,
44008,Ozone,2022-03-31,26,23,21,24,26,12,6,21,32,35,35,39,34,38,36,29,24,22,20,20,20,21,27,33,
44008,Ozone,2022-04-01,34,33,33,31,26,24,25,26,28,31,30,30,33,32,33,33,35,36,37,38,39,39,39,38,
44008,Ozone,2022-04-02,36,36,37,29,24,25,25,28,33,37,40,37,40,42,44,45,44,44,44,44,44,40,41,40,
44008,Ozone,2022-04-03,40,37,33,27,23,29,36,32,33,34,32,31,34,32,36,36,37,37,35,30,21,24,32,32,
44008,Ozone,2022-04-04,31,31,19,9999,18,9,1,9,21,30,31,27,30,31,32,34,35,34,33,36,31,32,38,40,
