Date,City,PM25,O3,NO2,SO2,CO
2023-06-05,Toronto-North,42.00,34.00,11.00,1.00,2.00
2023-06-06,Toronto-North,74.00,35.00,4.00,, 
2023-06-07,Toronto-North,122.00,34.00,4.00,1.00,1.00
2023-06-08,Toronto-North,108.00,22.00,4.00,1.00, 
2023-06-09,Toronto-North,84.00,26.00,6.00,1.00,2.00
2023-06-10,Toronto-North,84.00,39.00,6.00,1.00,4.00
2023-06-11,Toronto-North,78.00,39.00,5.00,,1.00
2023-06-12,Toronto-North,68.00,32.00,4.00,1.00,1.00
2023-06-13,Toronto-North,39.00,30.00,6.00,,1.00
2023-06-14,Toronto-North,47.00,31.00,4.00,1.00,4.00
2023-06-15,Toronto-North,40.00,25.00,8.00,, 
2023-06-16,Toronto-North,41.00,24.00,2.00,1.00,1.00
2023-06-17,Toronto-North,81.00,31.00,3.00,1.00,1.00
2023-06-18,Toronto-North,76.00,45.00,4.00,,2.00
2023-06-19,Toronto-North,109.00,25.00,4.00,1.00,1.00
2023-06-20,Toronto-North,49.00,31.00,2.00,1.00,4.00
2023-06-21,Toronto-North,30.00,36.00,5.00,,2.00
2023-06-22,Toronto-North,50.00,33.00,5.00,1.00,1.00
2023-06-23,Toronto-North,41.00,26.00,3.00,1.00,1.00
2023-06-24,Toronto-North,18.00,22.00,4.00,, 
2023-06-25,Toronto-North,17.00,34.00,4.00,1.00,2.00
2023-06-26,Toronto-North,39.00,33.00,2.00,1.00,1.00
2023-06-27,Toronto-North,25.00,28.00,2.00,, 
2023-06-28,Toronto-North,49.00,34.00,3.00,1.00, 
2023-06-29,Toronto-North,160.00,46.00,7.00,1.00,1.00
2023-06-30,Toronto-North,77.00,54.00,5.00,1.00,1.00
2023-07-01,Toronto-North,158.00,50.00,4.00,,2.00
2023-01-03,Toronto-North,46.00,13.00,13.00,1.00,1.00
2023-01-04,Toronto-North,52.00,15.00,8.00,,1.00
2023-01-05,Toronto-North,18.00,11.00,15.00,1.00,2.00
2023-01-06,Toronto-North,30.00,9.00,15.00,1.00,1.00
2023-01-07,Toronto-North,40.00,25.00,6.00,1.00,4.00
2023-01-08,Toronto-North,20.00,23.00,6.00,,1.00
2023-01-09,Toronto-North,17.00,18.00,9.00,1.00,1.00
2023-01-10,Toronto-North,50.00,21.00,6.00,1.00,
2023-01-11,Toronto-North,13.00,16.00,8.00,1.00,1.00
2023-01-12,Toronto-North,41.00,9.00,12.00,, 
2023-01-13,Toronto-North,67.00,24.00,4.00,1.00,4.00
2023-01-14,Toronto-North,43.00,24.00,6.00,,1.00
2023-01-15,Toronto-North,50.00,14.00,23.00,1.00,1.00
2023-01-16,Toronto-North,67.00,20.00,21.00,1.00, 
2023-01-17,Toronto-North,60.00,14.00,19.00,1.00, 
2023-01-18,Toronto-North,51.00,19.00,10.00,,1.00
2023-01-19,Toronto-North,31.00,20.00,5.00,1.00,1.00
2023-01-20,Toronto-North,26.00,20.00,13.00,1.00,2.00
2023-01-21,Toronto-North,41.00,21.00,7.00,, 
2023-01-22,Toronto-North,40.00,16.00,9.00,1.00,2.00
2023-01-23,Toronto-North,54.00,20.00,8.00,1.00,1.00
2023-01-24,Toronto-North,52.00,18.00,12.00,, 
2023-01-25,Toronto-North,64.00,21.00,16.00,1.00, 
2023-01-26,Toronto-North,71.00,19.00,12.00,,4.00
2023-01-27,Toronto-North,19.00,24.00,15.00,1.00,2.00
2023-01-28,Toronto-North,45.00,27.00,8.00,1.00,
2023-01-29,Toronto-North,34.00,22.00,10.00,,1.00
2023-01-30,Toronto-North,34.00,23.00,16.00,1.00,1.00
2023-01-31,Toronto-North,20.00,25.00,14.00,1.00,1.00
2023-02-01,Toronto-North,25.00,24.00,21.00,2.00,2.00
2023-02-02,Toronto-North,52.00,27.00,14.00,1.00,2.00
2023-02-03,Toronto-North,50.00,24.00,6.00,1.00,
2023-02-04,Toronto-North,14.00,21.00,18.00,1.00,2.00
2023-02-05,Toronto-North,31.00,20.00,15.00,,1.00
2023-02-06,Toronto-North,37.00,23.00,12.00,1.00,2.00
2023-02-07,Toronto-North,44.00,21.00,10.00,2.00,1.00
2023-02-08,Toronto-North,51.00,26.00,15.00,1.00,
2023-02-09,Toronto-North,50.00,18.00,20.00,,2.00
2023-02-10,Toronto-North,53.00,23.00,6.00,1.00,1.00
2023-02-11,Toronto-North,13.00,25.00,6.00,,2.00
2023-02-12,Toronto-North,17.00,22.00,16.00,1.00,2.00
2023-02-13,Toronto-North,48.00,26.00,16.00,2.00,
2023-02-14,Toronto-North,58.00,25.00,18.00,1.00,4.00
2023-02-15,Toronto-North,51.00,25.00,10.00,, 
2023-02-16,Toronto-North,29.00,20.00,5.00,1.00,1.00
2023-02-17,Toronto-North,16.00,25.00,5.00,1.00, 
2023-02-18,Toronto-North,11.00,22.00,11.00,2.00,1.00
2023-02-19,Toronto-North,41.00,26.00,12.00,1.00,3.00
2023-02-20,Toronto-North,43.00,29.00,8.00,1.00, 
2023-02-21,Toronto-North,23.00,25.00,7.00,1.00,4.00
2023-02-22,Toronto-North,24.00,26.00,5.00,,1.00
2023-02-23,Toronto-North,15.00,26.00,10.00,1.00, 
2023-02-24,Toronto-North,23.00,24.00,10.00,,1.00
2023-02-25,Toronto-North,25.00,23.00,10.00,2.00, 
2023-02-26,Toronto-North,30.00,33.00,7.00,1.00,1.00
2023-02-27,Toronto-North,43.00,28.00,10.00,1.00,
2023-02-28,Toronto-North,20.00,27.00,11.00,2.00,4.00
2023-03-01,Toronto-North,26.00,29.00,18.00,, 
2023-03-02,Toronto-North,43.00,28.00,11.00,1.00,5.00
2023-03-03,Toronto-North,34.00,31.00,7.00,,2.00
2023-03-04,Toronto-North,19.00,32.00,6.00,,2.00
2023-03-05,Toronto-North,16.00,30.00,20.00,1.00,1.00
2023-03-06,Toronto-North,47.00,24.00,24.00,2.00, 
2023-03-07,Toronto-North,36.00,33.00,6.00,,1.00
2023-03-08,Toronto-North,14.00,31.00,6.00,,2.00
2023-03-09,Toronto-North,13.00,31.00,6.00,2.00, 
2023-03-10,Toronto-North,15.00,27.00,8.00,,1.00
2023-03-11,Toronto-North,14.00,28.00,4.00,1.00,2.00
2023-03-12,Toronto-North,13.00,27.00,11.00,1.00, 
2023-03-13,Toronto-North,23.00,28.00,10.00,2.00,2.00
2023-03-14,Toronto-North,29.00,27.00,6.00,1.00,2.00
2023-03-15,Toronto-North,11.00,34.00,6.00,1.00, 
2023-03-16,Toronto-North,14.00,31.00,21.00,,1.00
2023-03-17,Toronto-North,51.00,29.00,8.00,,2.00
2023-03-18,Toronto-North,33.00,30.00,4.00,2.00,1.00
